# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-4.8191593E-009 ;  9.1313400E-001
-4.8093842E-009 ;  9.7371100E-001
-4.7996090E-009 ;  9.0416000E-001
-4.7898338E-009 ;  9.5800600E-001
-4.7800587E-009 ;  1.0320440E+000
-4.7702835E-009 ;  9.6922400E-001
-4.7605083E-009 ;  9.8268500E-001
-4.7507331E-009 ;  9.4005700E-001
-4.7409580E-009 ;  1.0006340E+000
-4.7311828E-009 ;  9.3557000E-001
-4.7214076E-009 ;  9.8268500E-001
-4.7116325E-009 ;  1.0118520E+000
-4.7018573E-009 ;  9.7595400E-001
-4.6920821E-009 ;  1.0522360E+000
-4.6823069E-009 ;  9.5351900E-001
-4.6725318E-009 ;  9.4678800E-001
-4.6627566E-009 ;  1.0051210E+000
-4.6529814E-009 ;  1.0612100E+000
-4.6432063E-009 ;  1.0118520E+000
-4.6334311E-009 ;  9.6922400E-001
-4.6236559E-009 ;  1.0342870E+000
-4.6138807E-009 ;  1.0298000E+000
-4.6041056E-009 ;  1.0208260E+000
-4.5943304E-009 ;  9.8044200E-001
-4.5845552E-009 ;  1.0163390E+000
